iter	Passed	Remaining
420	3112	584
421	3119	576
422	3126	569
423	3133	561
424	3139	554
425	3146	546
426	3152	539
427	3159	531
428	3165	523
429	3171	516
430	3177	508
431	3183	501
432	3191	493
433	3197	486
434	3204	478
435	3210	471
436	3216	463
437	3223	456
438	3229	448
439	3236	441
440	3242	433
441	3249	426
442	3256	418
443	3263	411
444	3269	404
445	3277	396
446	3284	389
447	3291	382
448	3299	374
449	3306	367
450	3313	360
451	3319	352
452	3326	345
453	3332	337
454	3338	330
455	3344	322
456	3351	315
457	3357	307
458	3363	300
459	3369	293
460	3375	285
461	3381	278
462	3387	270
463	3393	263
464	3399	255
465	3405	248
466	3411	241
467	3417	233
468	3423	226
469	3430	218
470	3436	211
471	3442	204
472	3449	196
473	3455	189
474	3461	182
475	3467	174
476	3473	167
477	3479	160
478	3485	152
479	3491	145
480	3497	138
481	3503	130
482	3509	123
483	3515	116
484	3522	108
485	3527	101
486	3533	94
487	3539	87
488	3545	79
489	3551	72
490	3557	65
491	3563	57
492	3569	50
493	3576	43
494	3582	36
495	3588	28
496	3595	21
497	3602	14
498	3608	7
499	3615	0
