iter	MultiClass
150	0.1593730919
151	0.1591547987
152	0.1589890979
153	0.1587979196
154	0.1585653668
155	0.1582462251
156	0.1577625383
157	0.1576453157
158	0.1574938751
159	0.1572378775
160	0.1571496388
161	0.1569781213
162	0.1568663802
163	0.1566783961
164	0.1565430312
165	0.1564051011
166	0.1563056893
167	0.156144508
168	0.1559625662
169	0.1557032402
170	0.155488849
171	0.1552204762
172	0.1550748748
173	0.1549108792
174	0.154793885
175	0.1547143159
176	0.1545098102
177	0.1541886333
178	0.1539636978
179	0.1538548036
180	0.1537080827
181	0.1535188877
182	0.1533293942
183	0.1531160391
184	0.1529636685
185	0.1528025656
186	0.1527309375
187	0.1526039548
188	0.1524620141
189	0.1523343736
190	0.1521938247
191	0.1519883897
192	0.1518946602
193	0.1518482014
194	0.1517410005
195	0.1516486893
196	0.1515873117
197	0.1514682009
198	0.1511951401
199	0.1509548827
200	0.1508346441
201	0.1507205516
202	0.1505427985
203	0.1504450063
204	0.1503561247
205	0.1502084131
206	0.1500504278
207	0.149949354
208	0.1497635692
209	0.1495347612
210	0.1493310386
211	0.1492250589
212	0.1491227996
213	0.1489665345
214	0.1488624624
215	0.1486557384
216	0.1485958658
217	0.1484997945
218	0.1481869774
219	0.1480515346
220	0.1479960942
221	0.1477180213
222	0.1476273959
223	0.1475384076
224	0.1473791251
225	0.1472893457
226	0.1471334578
227	0.14692523
228	0.1468745825
229	0.1467662742
230	0.1466735875
231	0.1465849832
232	0.1464024256
233	0.1462582671
234	0.1460752715
235	0.145888483
236	0.1458165633
237	0.1457051209
238	0.1456071002
239	0.1455011639
240	0.145372369
241	0.1450755587
242	0.1448699314
243	0.1446491915
244	0.1445275534
245	0.1444220248
246	0.1442579996
247	0.1441487143
248	0.1440030976
249	0.1439305603
250	0.1438645053
251	0.1437882867
252	0.1436808775
253	0.1434277933
254	0.1432843302
255	0.143180357
256	0.142972944
257	0.1428302965
258	0.1427120726
259	0.1426219648
260	0.1424820545
261	0.14242667
262	0.1423392316
263	0.1422671332
264	0.1421972676
265	0.1420543094
266	0.1418853771
267	0.1416242339
268	0.1415346179
269	0.1414253337
270	0.1412779268
271	0.1411433871
272	0.1410868127
273	0.1409623634
274	0.140900774
275	0.1408781738
276	0.1408271709
277	0.1407612878
278	0.1406297139
279	0.1404627401
280	0.1403855895
281	0.1403414939
282	0.1402631697
283	0.1400988369
284	0.1398295028
285	0.1396587672
286	0.1393882817
287	0.1393301032
288	0.139187033
289	0.1390353491
290	0.1389428281
291	0.1388423439
292	0.1387259089
293	0.1385140223
294	0.138377841
295	0.1382539911
296	0.1381265508
297	0.1380765971
298	0.1379432376
299	0.1377189075
300	0.1376668452
301	0.1376371654
302	0.1375790648
303	0.1374748361
304	0.1374276748
305	0.1373401889
306	0.1372936259
307	0.1370089738
308	0.1369089328
309	0.1368366702
310	0.1367128623
311	0.1366292732
312	0.1365290945
313	0.1364284167
314	0.1363816606
315	0.1363042503
316	0.1362056955
317	0.1360864781
318	0.1359801909
319	0.1358873046
320	0.135781744
321	0.1357209721
322	0.1355711629
323	0.135442451
324	0.1353027406
325	0.1352133304
326	0.1350760676
327	0.1350153313
328	0.1349027995
329	0.1348186224
330	0.1347761962
331	0.1346936455
332	0.134602288
333	0.1344944793
334	0.1343951942
335	0.1343000264
336	0.1342229111
337	0.1340849207
338	0.1339825932
339	0.1338901517
340	0.133800155
341	0.1337024554
342	0.1336529769
343	0.1335542439
344	0.1335207861
345	0.1334629863
346	0.1333977964
347	0.1332886739
348	0.133267939
349	0.1331780271
350	0.1330614466
351	0.1329896662
352	0.1327958559
353	0.1327228216
354	0.1326716114
355	0.1326026953
356	0.1325205745
357	0.1324263561
358	0.1323464276
359	0.1322630545
360	0.1321941694
361	0.1321495208
362	0.1320746911
363	0.1320042785
364	0.131942128
365	0.1318895713
366	0.1318255024
367	0.1317491343
368	0.1315679175
369	0.1315065227
370	0.1314400871
371	0.1313546806
372	0.1313068322
373	0.1312055768
374	0.1311511989
375	0.1310832925
376	0.1309830406
377	0.130908227
378	0.1307808927
379	0.1306547199
380	0.1306151125
381	0.1304735699
382	0.1303177858
383	0.130264993
384	0.1301584945
385	0.1301361495
386	0.1301064214
387	0.1300523929
388	0.1298397561
389	0.1297812076
390	0.1297306186
391	0.1296610515
392	0.1295824303
393	0.1294303389
394	0.1293584659
395	0.1293036928
396	0.1291958368
397	0.1290672555
398	0.1289990179
399	0.1289419061
400	0.1288772727
401	0.128792233
402	0.1287139252
403	0.1285791396
404	0.1285086991
405	0.128440868
406	0.1284137756
407	0.1283672771
408	0.1283093405
409	0.1281559312
410	0.1280379237
411	0.1279884485
412	0.127845766
413	0.1276735531
414	0.1275591376
415	0.1274463402
416	0.1273769155
417	0.1272638416
418	0.1271161729
419	0.12700935
420	0.1269471182
421	0.1268489697
422	0.1267657997
423	0.1266500678
424	0.1266199037
425	0.1265251966
426	0.1264477873
427	0.1263712085
428	0.1261803202
429	0.1261512483
430	0.1260989641
431	0.1260302913
432	0.1259604908
433	0.1259005345
434	0.1258125541
435	0.1257439914
436	0.1257006813
437	0.1255529677
438	0.1254563225
439	0.125369526
440	0.1252919054
441	0.1252563072
442	0.1251825985
443	0.1251478613
444	0.1251097751
445	0.1250582509
446	0.1249348782
447	0.1248200135
448	0.1247634366
449	0.1246111637
450	0.1245073003
451	0.124467843
452	0.1244218993
453	0.1243590358
454	0.1243075651
455	0.1242301094
456	0.1241891083
457	0.1240951468
458	0.1240196977
459	0.1239373406
460	0.1238698843
461	0.123827881
462	0.1237804894
463	0.1237426866
464	0.1237130076
465	0.1236464924
466	0.1236169688
467	0.1234922686
468	0.12343143
469	0.1233685808
470	0.1233141489
471	0.1232480878
472	0.1232088013
473	0.1231375081
474	0.1230654869
475	0.1230397554
476	0.123008981
477	0.1229374574
478	0.1228982686
479	0.1228029595
480	0.1227081056
481	0.122642054
482	0.1226020769
483	0.1225372573
484	0.1224104847
485	0.1223523074
486	0.1222392541
487	0.1221924997
488	0.1221132826
489	0.1220626152
490	0.1219879399
491	0.121929049
492	0.1218847243
493	0.1218258142
494	0.121778902
495	0.121730318
496	0.1216492225
497	0.1216106518
498	0.121526154
499	0.1214938906
